Root,Verse_Number,Form,Verse_Text
يمن,8,الْمَيْمَنَة,فَأَصْحَابُ الْمَيْمَنَةِ مَا أَصْحَابُ الْمَيْمَنَةِ
يمن,27,الْيَمِين,وَأَصْحَابُ الْيَمِينِ مَا أَصْحَابُ الْيَمِينِ
يمن,27,يَمِين,وَأَصْحَابُ الْيَمِينِ مَا أَصْحَابُ الْيَمِينِ
يمن,38,الْيَمِين,لِّأَصْحَابِ الْيَمِينِ
يمن,38,يَمِين,لِّأَصْحَابِ الْيَمِينِ
يمن,90,الْيَمِين,وَأَمَّا إِن كَانَ مِنْ أَصْحَابِ الْيَمِينِ
يمن,90,يَمِين,وَأَمَّا إِن كَانَ مِنْ أَصْحَابِ الْيَمِينِ
يمن,91,الْيَمِين,فَسَلَامٌ لَّكَ مِنْ أَصْحَابِ الْيَمِينِ
يمن,91,يَمِين,فَسَلَامٌ لَّكَ مِنْ أَصْحَابِ الْيَمِينِ
وقع,1,وَقَعَ,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ إِذَا وَقَعَتِ الْوَاقِعَةُ
وقع,1,الْوَاقِعَ,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ إِذَا وَقَعَتِ الْوَاقِعَةُ
وقع,1,وَاقِعَ,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ إِذَا وَقَعَتِ الْوَاقِعَةُ
حمم,42,حَمِيم,فِي سَمُومٍ وَحَمِيمٍ
حمم,54,حَمِيم,فَشَارِبُونَ عَلَيْهِ مِنَ الْحَمِيمِ
حمم,93,حَمِيم,فَنُزُلٌ مِّنْ حَمِيمٍ
كرم,44,كَرِيم,لَّا بَارِدٍ وَلَا كَرِيمٍ
كرم,77,كَرِيم,إِنَّهُ لَقُرْآنٌ كَرِيمٌ
نزل,56,نُزُل,هَذَا نُزُلُهُمْ يَوْمَ الدِّينِ
نزل,93,نُزُل,فَنُزُلٌ مِّنْ حَمِيمٍ
روح,89,رَوْح,فَرَوْحٌ وَرَيْحَانٌ وَجَنَّتُ نَعِيمٍ
روح,89,رَيْحَان,فَرَوْحٌ وَرَيْحَانٌ وَجَنَّتُ نَعِيمٍ
سلم,26,سَلَام,إِلَّا قِيلاً سَلَاماً سَلَاماً
سلم,91,سَلَام,فَسَلَامٌ لَّكَ مِنْ أَصْحَابِ الْيَمِينِ
ظلل,30,ظِلّ,وَظِلٍّ مَّمْدُودٍ
ظلل,43,ظِلّ,وَظِلٍّ مِّن يَحْمُومٍ
خفض,3,خَافِضَ,خَافِضَةٌ رَّافِعَةٌ
رجج,4,رَجّ,إِذَا رُجَّتِ الْأَرْضُ رَجّاً
بسس,5,بَسّ,وَبُسَّتِ الْجِبَالُ بَسّاً
شمل,9,الْمَشْأَمَة,وَأَصْحَابُ الْمَشْأَمَةِ مَا أَصْحَابُ الْمَشْأَمَةِ
نعم,89,نَعِيم,فَرَوْحٌ وَرَيْحَانٌ وَجَنَّتُ نَعِيمٍ
خلق,59,خَالِق,أَأَنتُمْ تَخْلُقُونَهُ أَمْ نَحْنُ الْخَالِقُونَ
نشأ,35,إِنشَاء,إِنَّا أَنشَأْنَاهُنَّ إِنشَاءً
موت,60,الْمَوْت,نَحْنُ قَدَّرْنَا بَيْنَكُمُ الْمَوْتَ وَمَا نَحْنُ بِمَسْبُوقِينَ
يقن,95,الْيَقِين,إِنَّ هَذَا لَهُوَ حَقُّ الْيَقِينِ
